Yr,Month,Fleet,Area,Weight,Obs,Exp,Nsamp_adj
1971,2,1,1,5,0.000913242,0.00124503,25.4877
1971,2,1,1,7,0.00651136,0.00207266,25.4877
1971,2,1,1,9,0.000913242,0.00300301,25.4877
1971,2,1,1,11,0.00540472,0.00335161,25.4877
1971,2,1,1,13,0.00277931,0.00316787,25.4877
1971,2,1,1,15,0.00464529,0.00316114,25.4877
1971,2,1,1,17,0.0177075,0.00417799,25.4877
1971,2,1,1,19,0.0121094,0.00680364,25.4877
1971,2,1,1,21,0.00803013,0.0112457,25.4877
1971,2,1,1,23,0.00837733,0.0169173,25.4877
1971,2,1,1,25,0.0177075,0.0229954,25.4877
1971,2,1,1,27,0.0195735,0.0283513,25.4877
1971,2,1,1,29,0.0755542,0.0321484,25.4877
1971,2,1,1,31,0.0195735,0.0341777,25.4877
1971,2,1,1,33,0.0158414,0.0346055,25.4877
1971,2,1,1,35,0.0307696,0.0340572,25.4877
1971,2,1,1,37,0.0139754,0.0332285,25.4877
1971,2,1,1,39,0.0400998,0.0326352,25.4877
1971,2,1,1,41,0.0326357,0.0326217,25.4877
1971,2,1,1,43,0.0102434,0.0331998,25.4877
1971,2,1,1,45,0.0251716,0.0341857,25.4877
1971,2,1,1,47,0.0501893,0.0352967,25.4877
1971,2,1,1,49,0.0550279,0.0362411,25.4877
1971,2,1,1,51,0.0539863,0.036791,25.4877
1971,2,1,1,53,0.0311817,0.036738,25.4877
1971,2,1,1,55,0.0367799,0.0361064,25.4877
1971,2,1,1,57,0.0450034,0.0349752,25.4877
1971,2,1,1,59,0.0401646,0.0331773,25.4877
1971,2,1,1,61,0.0203329,0.0312719,25.4877
1971,2,1,1,63,0.0274497,0.0290507,25.4877
1971,2,1,1,65,0.0248243,0.0267244,25.4877
1971,2,1,1,67,0.0259309,0.0244929,25.4877
1971,2,1,1,69,0.0184668,0.0222534,25.4877
1971,2,1,1,71,0.0110027,0.0201726,25.4877
1971,2,1,1,73,0.0256486,0.0182346,25.4877
1971,2,1,1,75,0.0154942,0.0162389,25.4877
1971,2,1,1,77,0.00277931,0.0146302,25.4877
1971,2,1,1,79,0.00878948,0.0129784,25.4877
1971,2,1,1,81,0.0173602,0.0114865,25.4877
1971,2,1,1,83,0.0103083,0.0102373,25.4877
1971,2,1,1,85,0.0147348,0.00907679,25.4877
1971,2,1,1,87,0.00429809,0.00789879,25.4877
1971,2,1,1,89,0.00353865,0.00698965,25.4877
1971,2,1,1,91,0.00505743,0.00617356,25.4877
1971,2,1,1,93,0.00954891,0.00544581,25.4877
1971,2,1,1,95,0.00243202,0.00478592,25.4877
1971,2,1,1,97,0.000913242,0.0041779,25.4877
1971,2,1,1,99,0.00616407,0.00369842,25.4877
1971,2,1,1,101,0.00167259,0.00328092,25.4877
1971,2,1,1,103,0.00429809,0.00291924,25.4877
1971,2,1,1,105,0.00616407,0.00260738,25.4877
1971,2,1,1,107,0.00167259,0.00233964,25.4877
1971,2,1,1,109,0.000913242,0.00211068,25.4877
1971,2,1,1,111,0.000913242,0.00191558,25.4877
1971,2,1,1,113,0.000913242,0.00174989,25.4877
1971,2,1,1,115,0.00243202,0.00160963,25.4877
1971,2,1,1,117,0.00167259,0.00149125,25.4877
1971,2,1,1,119,0.00243202,0.00139163,25.4877
1971,2,1,1,121,0.00243202,0.00130804,25.4877
1971,2,1,1,123,0.000913242,0.00123811,25.4877
1971,2,1,1,125,0.000913242,0.00117978,25.4877
1971,2,1,1,127,0.00167259,0.00113126,25.4877
1971,2,1,1,129,0.000913242,0.00109103,25.4877
1971,2,1,1,131,0.000913242,0.00105777,25.4877
1971,2,1,1,133,0.000913242,0.00103035,25.4877
1971,2,1,1,135,0.000913242,0.00100781,25.4877
